pais,totales
Argelia,19
Antigua y Bermuda,12
Argentina,14045
Australia,39519
Austria,173
Bahamas,46
Bahrein,139
Bangladesh,35
Barbados,84
Bélgica,505
Bermuda,9
Bolivia,1200
Bosnia y Herzegovina,2
Brasil,4085
Reino Unido,10
Reino Unido,1
Brunei,283
Bulgaria,67
Cambodia,32
Canadá,88970
Cabo Verde,18
Reino Unido,86
Chile,53976
China,11743
Colombia,1153
Cook Island,1
Costa Rica,2812
Costa de Marfil,12
Croacia,1
Cuba,411
Chipre,280
República Checa,101
Dinamarca,444
Dominica,14
República Dominicana,1385
Ecuador,1733
Egipto,488
El Salvador,2387
Estonia,103
Etiopía,14
Fiji,13
Finlandia,294
Francia,2645
Francia,1
Francia,1
Francia,12
Francia,15
Alemania,4037
Grecia,738
Francia,2
Guatemala,2479
"Guernsey, Crown Dependency",17
Guyana,2
Honduras,1466
Hong Kong ,10
Hungría,96
Islandia,57
India,692
Indonesia,46
Iran,4
Iran,1
Iraq,44
Irlanda,410
"Isle of Man, Crown Dependency",8
Israel,4316
Italia,1581
Jamaica,249
Japón,16419
"Jersey, Crown Dependency",51
Jordania,130
Kenya,28
Kuwait,468
Laos,23
Estonia,6
Líbano,286
Libia,1
Lituania,8
Luxemburgo,37
Malasia,700
Malta,26
"Martinique, FOC",15
Mauritius,9
México,186106
Mónaco,1
Montenegro,26
Marruecos,94
Marruecos,6
Myanmar,3
Nepal,16
Paises Bajos,1225
Paises Bajos,23
Paises Bajos,15
Paises Bajos,26
Paises Bajos,10
Paises Bajos,1
"New Caledonia, FOC",12
Nueva Zelanda,5116
Nicaragua,2345
Noruega,356
Oman,25
Palau,2
Panamá,5727
Papúa Nueva Guinea,8
Paraguay,738
Perú,3872
Filipinas,7270
Polonia,204
Portugal,164
Puerto Rico,18
Catar,87
Corea,1836
Rumania,291
Rusia,59
Santa Lucia,3
San Marino,1
Samoa,9
Saudi Arabia,536
Serbia,49
Singapur,4157
Eslovaquia,101
Eslovenia,32
Sudáfrica,36
España,10463
Sri Lanka,78
Suriname,88
Suecia,713
Suiza,578
Syria,1
Siria,8746
Macedonia,2
Trinidad y Tobago,330
Túnez,17
Turquía,334
Uganda,2
Reino Unido,203
Ucrania,13
Emiratos Árabes Unidos,51
Reino Unido,44768
Reino Unido,1
Reino Unido,1
Estados Unidos,418532
Uruguay,1458
Vanuatu,11
Venezuela,1327
Vietnam,822
Islas virgenes,1
West Bank and Gaza Strip,146
Yemen,50
