country,cases,new cases,deaths,new deaths,recovered,active cases,"serious, critical",tot/cases 1m pop,Deaths / 100 Recovered,total tests,tests/ 1M pop,population
USA,"27,284,015","10,001","467,552",555,"17,034,751","9,781,712","23,167","82,141","1,408","318,815,848","959,822","332,161,517"
India,"10,814,656","11,123","154,954",92,"10,508,782","150,920","8,944","7,791",112,"199,931,795","144,034","1,388,086,332"
Brazil,"9,406,817","9,048","229,097",214,"8,291,763","885,957","8,318","44,068","1,073","28,600,000","133,982","213,460,896"
Russia,"3,934,606","16,688","75,732",527,"3,413,495","445,379","2,300","26,955",519,"103,600,000","709,725","145,971,935"
UK,"3,911,573","19,114","111,264","1,014","1,862,645","1,937,664","3,625","57,440","1,634","76,432,166","1,122,368","68,098,996"
France,"3,274,608",,"77,952",,"228,472","2,968,184","3,277","50,101","1,193","45,205,557","691,640","65,359,921"
Spain,"2,943,349",,"60,802",,N/A,N/A,"4,823","62,938","1,300","33,901,309","724,919","46,765,623"
Italy,"2,611,659","14,218","90,618",377,"2,091,923","429,118","2,142","43,233","1,500","33,873,530","560,741","60,408,532"
Turkey,"2,516,889","7,901","26,577",110,"2,404,416","85,896","1,423","29,653",313,"30,349,042","357,555","84,879,364"
Germany,"2,268,277","2,783","61,091",206,"2,008,200","198,986","4,222","27,021",728,"40,705,522","484,912","83,944,131"
Colombia,"2,135,412",,"55,131",,"2,001,135","79,146","3,482","41,703","1,077","10,345,704","202,042","51,205,793"
Argentina,"1,961,635",,"48,700",,"1,754,705","158,230","3,570","43,167","1,072","6,393,504","140,693","45,442,913"
Mexico,"1,899,820","13,575","162,922","1,682","1,461,011","275,887","5,692","14,643","1,256","4,805,195","37,037","129,739,348"
Poland,"1,539,564","6,053","38,712",368,"1,294,687","206,165","1,338","40,706","1,024","8,835,802","233,617","37,821,768"
South Africa,"1,466,767",,"45,605",,"1,327,186","93,976",546,"24,547",763,"8,400,319","140,583","59,753,378"
Iran,"1,452,380","7,061","58,336",80,"1,241,320","152,724","3,819","17,161",689,"9,504,930","112,309","84,632,205"
Ukraine,"1,237,169","4,923","23,387",158,"1,063,591","150,191",177,"28,391",537,"6,299,699","144,568","43,575,893"
Peru,"1,165,052",,"41,753",,"1,076,446","46,853","1,953","35,045","1,256","6,491,121","195,252","33,244,774"
Indonesia,"1,134,854","11,749","31,202",201,"926,980","176,672",,"4,123",113,"9,578,686","34,800","275,245,757"
Czechia,"1,021,477","8,032","16,976",65,"909,305","95,196",995,"95,279","1,583","6,448,015","601,445","10,720,869"
Netherlands,"997,751","4,321","14,294",60,N/A,N/A,573,"58,152",833,"6,970,400","406,258","17,157,554"
